Date,rain_mm,station id,year,month,day
2/1/2007,8.7,4234109,2007,1,2
3/1/2007,0.5,4234109,2007,1,3
4/1/2007,0,4234109,2007,1,4
5/1/2007,0.5,4234109,2007,1,5
6/1/2007,2,4234109,2007,1,6
7/1/2007,126.5,4234109,2007,1,7
8/1/2007,25.9,4234109,2007,1,8
9/1/2007,10.6,4234109,2007,1,9
10/1/2007,0.5,4234109,2007,1,10
11/1/2007,17.1,4234109,2007,1,11
12/1/2007,8.4,4234109,2007,1,12
13/1/2007,13.6,4234109,2007,13,1
14/1/2007,31.6,4234109,2007,14,1
15/1/2007,9.7,4234109,2007,15,1
16/1/2007,1.6,4234109,2007,16,1
17/1/2007,5.3,4234109,2007,17,1
18/1/2007,28.3,4234109,2007,18,1
19/1/2007,20.3,4234109,2007,19,1
20/1/2007,4.8,4234109,2007,20,1
21/1/2007,0.2,4234109,2007,21,1
22/1/2007,0,4234109,2007,22,1
23/1/2007,1.7,4234109,2007,23,1
24/1/2007,0.3,4234109,2007,24,1
25/1/2007,23.5,4234109,2007,25,1
26/1/2007,3.5,4234109,2007,26,1
27/1/2007,0.5,4234109,2007,27,1
28/1/2007,0.5,4234109,2007,28,1
29/1/2007,1.5,4234109,2007,29,1
30/1/2007,0,4234109,2007,30,1
31/1/2007,0,4234109,2007,31,1
1/2/2007,0,4234109,2007,2,1
2/2/2007,1.6,4234109,2007,2,2
3/2/2007,1.4,4234109,2007,2,3
4/2/2007,0,4234109,2007,2,4
5/2/2007,1.6,4234109,2007,2,5
6/2/2007,4.9,4234109,2007,2,6
16/3/2007,0,4234109,2007,16,3
17/3/2007,0,4234109,2007,17,3
18/3/2007,0,4234109,2007,18,3
19/3/2007,0,4234109,2007,19,3
20/3/2007,0.4,4234109,2007,20,3
21/3/2007,72.6,4234109,2007,21,3
22/3/2007,0.9,4234109,2007,22,3
23/3/2007,1.1,4234109,2007,23,3
24/3/2007,5.5,4234109,2007,24,3
25/3/2007,12.5,4234109,2007,25,3
26/3/2007,0,4234109,2007,26,3
27/3/2007,0,4234109,2007,27,3
28/3/2007,0,4234109,2007,28,3
29/3/2007,56.5,4234109,2007,29,3
30/3/2007,5.9,4234109,2007,30,3
31/3/2007,15.6,4234109,2007,31,3
1/4/2007,0,4234109,2007,4,1
2/4/2007,0,4234109,2007,4,2
3/4/2007,0,4234109,2007,4,3
4/4/2007,0,4234109,2007,4,4
5/4/2007,0,4234109,2007,4,5
6/4/2007,21,4234109,2007,4,6
7/4/2007,3.2,4234109,2007,4,7
8/4/2007,37.6,4234109,2007,4,8
9/4/2007,37.6,4234109,2007,4,9
10/4/2007,26.4,4234109,2007,4,10
11/4/2007,13.1,4234109,2007,4,11
12/4/2007,30,4234109,2007,4,12
13/4/2007,0.4,4234109,2007,13,4
14/4/2007,2,4234109,2007,14,4
15/4/2007,0.1,4234109,2007,15,4
16/4/2007,0,4234109,2007,16,4
17/4/2007,0,4234109,2007,17,4
18/4/2007,0,4234109,2007,18,4
19/4/2007,0,4234109,2007,19,4
20/4/2007,0,4234109,2007,20,4
21/4/2007,0,4234109,2007,21,4
22/4/2007,0.5,4234109,2007,22,4
23/4/2007,2.4,4234109,2007,23,4
24/4/2007,1.2,4234109,2007,24,4
25/4/2007,0.4,4234109,2007,25,4
26/4/2007,6.9,4234109,2007,26,4
27/4/2007,0.6,4234109,2007,27,4
28/4/2007,2.1,4234109,2007,28,4
29/4/2007,9.1,4234109,2007,29,4
30/4/2007,0.9,4234109,2007,30,4
